hashstring,page_path,pages,number_of_duplicates,representative_page
01980c46fc1287a1b69cd87ff6ad655d,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-30.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-30.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-30.jpg
051599401ca310115ff2ba52ad3e2337,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-02.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-02.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-02.jpg
0d202e67d5e2a3056cdfac5b5659e2fd,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-18.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-18.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-18.jpg
176f6fecc03a4a05abb2ca521e97a4e1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-17.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-17.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-17.jpg
1cad1c5b0c673591bf417c5d3b66287d,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-09.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-09.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-09.jpg
232c5860cecc4b8129c6a756224f59f0,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-32.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-32.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-32.jpg
24efc565658e59427003f3b40a945cdd,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-14.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-14.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-14.jpg
2740d7e9df691e95db6411a179682184,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-15.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-15.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-15.jpg
293e45e4340d559c81d5b8a066f72515,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-10.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-10.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-10.jpg
2dc735b58c2e185712fd1de701ee4a70,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-09.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-09.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-09.jpg
31dc38f94238e12943398c8e68fe21be,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-02.jpg,['/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-02.jpg'],1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 5__V.pdf/V00001-02.jpg
