,page_path,hashstring,duplicate_pages,file_name
0,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__FOLDER 7__W.pdf/W00001-1.jpg,5d1b56978e36b8156dd0893e5fa93658,,FOLDER 6__FOLDER 7__W.pdf
1,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-23.jpg,8ba028608037989c1b717c98728f840f,,FOLDER 6__Y.pdf
2,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-22.jpg,f640be5668a6ba420b2f00851f92bd1f,,FOLDER 6__Y.pdf
3,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-20.jpg,5c56e50921b9b756667f53f37ac8caab,,FOLDER 6__Y.pdf
4,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-34.jpg,57baab46ae85823d9670afe401f93b4c,,FOLDER 6__Y.pdf
5,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-08.jpg,6ac7735d3f286ee30efb45481c5f544a,,FOLDER 6__Y.pdf
6,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-09.jpg,2dc735b58c2e185712fd1de701ee4a70,,FOLDER 6__Y.pdf
7,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-21.jpg,ab9660cff14c0531783a0684b4402ae7,,FOLDER 6__Y.pdf
8,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-19.jpg,f5f38bd96400bc9e3a1be8fe83c0cb80,,FOLDER 6__Y.pdf
9,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-25.jpg,e457d56abcf83e63be7785cfbb07fa27,,FOLDER 6__Y.pdf
10,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-31.jpg,fa15355994e0322a3f34466a585ecec0,,FOLDER 6__Y.pdf
11,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-30.jpg,01980c46fc1287a1b69cd87ff6ad655d,,FOLDER 6__Y.pdf
12,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-24.jpg,b163eae79cc7313808fff18c24dd2cf9,,FOLDER 6__Y.pdf
13,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-18.jpg,0d202e67d5e2a3056cdfac5b5659e2fd,,FOLDER 6__Y.pdf
14,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-32.jpg,232c5860cecc4b8129c6a756224f59f0,,FOLDER 6__Y.pdf
15,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-26.jpg,a459c7a1352990b35d24557e6c4e6fe2,,FOLDER 6__Y.pdf
16,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-27.jpg,e18bf6b60c28d2a76da3c87883d1d590,,FOLDER 6__Y.pdf
17,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-33.jpg,928d1ffda89b72e49f18703511b685d7,,FOLDER 6__Y.pdf
18,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-16.jpg,c07669633ec0592ef7696bb32ad52f34,,FOLDER 6__Y.pdf
19,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-02.jpg,051599401ca310115ff2ba52ad3e2337,,FOLDER 6__Y.pdf
20,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-03.jpg,47751fdccae131fedb7a3aa1586f3414,,FOLDER 6__Y.pdf
21,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-17.jpg,176f6fecc03a4a05abb2ca521e97a4e1,,FOLDER 6__Y.pdf
22,/Users/heatherwei/Downloads/test_files2/images/FOLDER 6__Y.pdf/Y10001-01.jpg,af6fcfc45b5c8c66d9ad92a770498ae6,,FOLDER 6__Y.pdf
